epoch,train_loss,val_loss,val_acc_variety,val_acc_grade,lr,seconds
1,1.7206933399041493,1.346324872970581,0.7704402515723271,0.6289308176100629,0.00029917828430524096,110.3
2,1.2415076941251755,1.249271607398987,0.8427672955974843,0.6163522012578616,0.0002967221401100708,4.2
3,1.0484594379862149,1.280487060546875,0.7358490566037735,0.7515723270440252,0.00029265847744427303,4.6
4,1.0164252320925395,0.7657089591026306,0.9433962264150944,0.7264150943396226,0.0002870318186463901,3.8
5,1.0673595344026883,1.4890960454940796,0.6352201257861635,0.7012578616352201,0.0002799038105676658,3.9
6,1.0079088807106018,1.342740035057068,0.779874213836478,0.6383647798742138,0.0002713525491562421,3.9
7,0.9580761877199014,0.759874701499939,0.9779874213836478,0.6792452830188679,0.00026147172382160914,3.4
8,0.8011592924594879,0.8559526562690735,0.9182389937106918,0.7264150943396226,0.00025036959095382875,3.3
9,0.7495058278242747,0.8551929354667663,0.8962264150943396,0.7358490566037735,0.000238167787843871,3.7
10,0.8615914955735207,0.5808602809906006,0.9842767295597484,0.7421383647798742,0.00022500000000000002,3.5
