epoch,train_loss,val_loss,val_acc_variety,val_acc_grade,lr,seconds
1,0.732000665118297,0.7720753073692321,0.0,0.6792452830188679,0.00029953760005996916,92.2
2,0.6310402018328508,0.6433002948760986,0.0,0.7295597484276729,0.00029815325108927063,4.9
3,0.6074750026067098,0.6683688759803772,0.0,0.6635220125786163,0.0002958554880596515,4.8
4,0.5844397110243639,0.8576571583747864,0.0,0.5628930817610063,0.00029265847744427303,4.8
5,0.5922996687392393,0.8319450259208679,0.0,0.5408805031446541,0.000288581929876693,4.8
6,0.566358828296264,0.6099754452705384,0.0,0.6981132075471698,0.0002836509786282552,4.9
7,0.5875882481535276,0.6540111184120179,0.0,0.6823899371069182,0.00027789602465311383,4.9
8,0.5533936234811941,0.6282316446304321,0.0,0.7075471698113207,0.0002713525491562421,4.8
9,0.549805453668038,0.5675891399383545,0.0,0.7515723270440252,0.00026406089484000466,4.8
10,0.5433076545596123,0.560595440864563,0.0,0.7578616352201258,0.0002560660171779821,4.8
11,0.5254775819679102,0.6059619426727295,0.0,0.7389937106918238,0.0002474172072495276,4.9
12,0.5547214671969414,0.8229405403137207,0.0,0.6257861635220126,0.000238167787843871,4.8
13,0.5484779278437296,0.6854625463485717,0.0,0.6635220125786163,0.00022837478470739232,4.8
14,0.536587322751681,0.5991962790489197,0.0,0.720125786163522,0.000218098574960932,4.9
15,0.5322561835249265,0.5643351078033447,0.0,0.7672955974842768,0.00020740251485476348,4.9
16,0.5291207271317641,0.5864185571670533,0.0,0.7264150943396226,0.00019635254915624213,4.9
17,0.544855119039615,0.7016178011894226,0.0,0.6666666666666666,0.00018501680457838585,4.8
18,0.5376412570476532,0.5599080681800842,0.0,0.7578616352201258,0.00017346516975603465,4.8
19,0.5232862817744414,0.5704468846321106,0.0,0.7578616352201258,0.00016176886435917675,4.8
20,0.5234054699540138,0.5601840496063233,0.0,0.7421383647798742,0.00015,4.8
21,0.5248389753202597,0.5564815282821656,0.0,0.7672955974842768,0.00013823113564082325,4.9
22,0.5136608928442001,0.5542043149471283,0.0,0.7610062893081762,0.00012653483024396538,4.8
