epoch,train_loss,val_loss,val_acc_variety,val_acc_grade,lr,seconds
1,0.39079715740500076,0.707176523283124,0.6629711751662971,0.0,0.00029917828430524096,133.8
2,0.06716170918309328,0.3246690251980908,0.8226164079822617,0.0,0.0002967221401100708,6.8
3,0.04720851620941451,0.180789314879803,0.8580931263858093,0.0,0.00029265847744427303,6.4
4,0.02681536710059101,0.21422485416405834,0.8603104212860311,0.0,0.0002870318186463901,6.4
5,0.03238849433590517,0.21119871463452,0.835920177383592,0.0,0.0002799038105676658,6.3
6,0.015918788337854272,0.14898659996470087,0.8913525498891353,0.0,0.0002713525491562421,6.4
7,0.02438583864943322,0.19681961302558193,0.8957871396895787,0.0,0.00026147172382160914,6.4
8,0.017233428132550962,0.1833193454076536,0.8736141906873615,0.0,0.00025036959095382875,6.7
9,0.01250182647102823,0.13848750680153898,0.9068736141906873,0.0,0.000238167787843871,6.6
10,0.007268975106082066,0.0754023431436508,0.9467849223946785,0.0,0.00022500000000000002,6.5
11,0.005645799217745662,0.04089106326136971,0.9711751662971175,0.0,0.0002110104964613701,5.7
12,0.013138691705976133,0.19147261316902586,0.8580931263858093,0.0,0.00019635254915624216,5.3
13,0.005137699702049069,0.11362853274295048,0.9223946784922394,0.0,0.00018118675362266393,6.6
14,0.00512040323916484,0.11768067321099807,0.9246119733924612,0.0,0.0001656792694901481,6.5
15,0.0029724541862819797,0.1522522575514813,0.9002217294900222,0.0,0.0001500000000000001,6.4
16,0.0020789369970743514,0.17795823414599,0.8802660753880266,0.0,0.00013432073050985205,6.3
17,0.003706707067039767,0.08577787304966478,0.9423503325942351,0.0,0.00011881324637733612,6.3
18,0.003114273638471566,0.1639797530369833,0.9068736141906873,0.0,0.00010364745084375793,6.5
