epoch,train_loss,val_loss,val_acc_variety,val_acc_grade,lr,seconds
1,0.7198352813720703,0.5935770869255066,0.0,0.7327044025157232,0.00029917828430524096,68.4
2,0.5481765953203043,0.7492205262184143,0.0,0.6823899371069182,0.0002967221401100708,3.4
3,0.5536610595881939,0.833947217464447,0.0,0.6761006289308176,0.00029265847744427303,3.4
4,0.501741349697113,0.6950551629066467,0.0,0.6886792452830188,0.0002870318186463901,3.3
5,0.43551920106013614,0.505163848400116,0.0,0.779874213836478,0.0002799038105676658,3.3
6,0.43600327397386235,0.6054750621318817,0.0,0.7421383647798742,0.0002713525491562421,3.2
7,0.4292654258509477,0.6062784433364868,0.0,0.7138364779874213,0.00026147172382160914,3.2
8,0.39452763957281906,0.6561348676681519,0.0,0.7138364779874213,0.00025036959095382875,3.1
9,0.3625033435722192,0.5792132675647735,0.0,0.7358490566037735,0.000238167787843871,3.4
10,0.3737553494671981,0.6316772818565368,0.0,0.7421383647798742,0.00022500000000000002,3.2
11,0.3010234000782172,0.6381212174892426,0.0,0.779874213836478,0.0002110104964613701,3.4
12,0.28813732229173183,0.6814261138439178,0.0,0.7578616352201258,0.00019635254915624216,3.4
