epoch,train_loss,val_loss,val_acc_variety,val_acc_grade,lr,seconds
1,0.878682774802049,1.5553188562393188,0.7295597484276729,0.6383647798742138,0.00029917828430524096,113.2
2,0.6382552534341812,1.0471695065498352,0.8490566037735849,0.7044025157232704,0.0002967221401100708,5.0
3,0.5230018428216378,1.0547474503517151,0.8113207547169812,0.7578616352201258,0.00029265847744427303,5.0
4,0.5221869188050429,0.9072582244873046,0.9213836477987422,0.6572327044025157,0.0002870318186463901,4.9
5,0.5450825393199921,1.1212687969207764,0.7987421383647799,0.7232704402515723,0.0002799038105676658,5.0
6,0.528171411405007,1.1852560997009278,0.8081761006289309,0.6477987421383647,0.0002713525491562421,4.9
7,0.48097176228960353,0.5966836929321289,0.9874213836477987,0.720125786163522,0.00026147172382160914,4.9
8,0.4086644711593787,0.6179275274276733,0.9465408805031447,0.7547169811320755,0.00025036959095382875,4.9
9,0.3875611337522666,1.016631531715393,0.8333333333333334,0.7515723270440252,0.000238167787843871,4.9
10,0.45911624903480214,0.7549854397773743,0.9119496855345912,0.7389937106918238,0.00022500000000000002,4.9
